,phone,name1,name2,levenshteinDistance,maxLength,normalized,jaccard
0,3037705531,C E PARISH GENERAL AGENT,MID-WEST FAMILY BROADCASTING,22,28,0.7857142857142857,0.0
1,3037705531,C E PARISH GENERAL AGENT,JACOB YOUNG FINANCIAL,21,24,0.875,0.0
2,3037705531,C E PARISH GENERAL AGENT,NICK GOULD PHOTOGRAPHY,22,24,0.9166666666666666,0.0
3,3037705531,C E PARISH GENERAL AGENT,TAURUS MARKET RESEARCH,20,24,0.8333333333333334,0.0
4,3037705531,C E PARISH GENERAL AGENT,DESIGN ALLIANCE,18,24,0.75,0.0
5,3037705531,C E PARISH GENERAL AGENT,LOCKWOOD LEADERSHIP INTERNATIONAL,25,33,0.7575757575757576,0.0
6,3037705531,C E PARISH GENERAL AGENT,AQUACHAMPS SWIM SCHOOL,22,24,0.9166666666666666,0.0
7,3037705531,C E PARISH GENERAL AGENT,CENTRAL LAKES COLLEGE,18,24,0.75,0.0
8,3037705531,C E PARISH GENERAL AGENT,TAGS & LABELS PRINTING INC,21,26,0.8076923076923077,0.0
9,3037705531,C E PARISH GENERAL AGENT,E B PRO SERVICE,16,24,0.6666666666666666,0.125
10,3037705531,C E PARISH GENERAL AGENT,VITRO PACKAGING,18,24,0.75,0.0
11,3037705531,C E PARISH GENERAL AGENT,FACTORY DIRECT APPLIANCE,21,24,0.875,0.0
12,3037705531,C E PARISH GENERAL AGENT,DIMARE FRESH,19,24,0.7916666666666666,0.0
13,3037705531,C E PARISH GENERAL AGENT,INDOFF INC.,21,24,0.875,0.0
14,3037705531,C E PARISH GENERAL AGENT,BARTLESVILLE ACCOUNTS RECEIVABLE,28,32,0.875,0.0
15,3037705531,C E PARISH GENERAL AGENT,EXECUTIVE APPLIANCE SERVICES,23,28,0.8214285714285714,0.0
16,3037705531,C E PARISH GENERAL AGENT,SAINT PAUL PUBLIC SCHOOLS - #625,27,32,0.84375,0.0
17,3037705531,C E PARISH GENERAL AGENT,ALAN ASHMORE CONSTRUCTION,22,25,0.88,0.0
18,3037705531,C E PARISH GENERAL AGENT,HANNOVER CONSULTING,20,24,0.8333333333333334,0.0
19,3037705531,C E PARISH GENERAL AGENT,RAY EAST PHOTOGRAPHY,19,24,0.7916666666666666,0.0
20,3037705531,C E PARISH GENERAL AGENT,LAKEWOOD CHAMBER OF COMMERCE,23,28,0.8214285714285714,0.0
21,3037705531,C E PARISH GENERAL AGENT,A&H WINDOWS PLUS INC,20,24,0.8333333333333334,0.0
22,3037705531,C E PARISH GENERAL AGENT,W&S FINANCIAL GROUP DISTRIBUTORS INC,29,36,0.8055555555555556,0.0
23,3037705531,C E PARISH GENERAL AGENT,IMAGES BY KATHARINE,18,24,0.75,0.0
24,3037705531,C E PARISH GENERAL AGENT,HAIR INNOVATIONS,18,24,0.75,0.0
25,3037705531,C E PARISH GENERAL AGENT,LOFTY LOU'S YARN SHOP,21,24,0.875,0.0
26,3037705531,C E PARISH GENERAL AGENT,TEXAS INSTRUMENTS INCORPORATED,24,30,0.8,0.0
27,3037705531,C E PARISH GENERAL AGENT,365 RETAIL MARKETS,19,24,0.7916666666666666,0.0
28,3037705531,C E PARISH GENERAL AGENT,LAW OFFICE OF ROBERT BERKE,21,26,0.8076923076923077,0.0
